iter	F1	Logloss
0	0.01231527094	0.6885237041
1	0.01070840198	0.6841684365
2	0.004139072848	0.6801579524
3	0.003314001657	0.6764566134
4	0.004966887417	0.6733190145
5	0.0008295313148	0.6703486839
6	0	0.6678762487
7	0	0.6654430675
8	0	0.6632461209
9	0	0.6614005818
10	0	0.6595078056
11	0	0.6574564349
12	0	0.6559214616
13	0	0.6543068929
14	0	0.6530080973
15	0	0.651846281
16	0	0.6506679103
17	0	0.6492893644
18	0	0.6480236996
19	0	0.6467707791
20	0	0.6456816824
21	0	0.6445664675
22	0	0.6436240313
23	0	0.6429993154
24	0	0.6421443223
25	0	0.6415549513
26	0	0.6408246374
27	0	0.6398390307
28	0	0.6389704108
29	0	0.6384040731
30	0	0.6378733783
31	0	0.6368757149
32	0	0.6364088604
33	0	0.6357343439
34	0	0.6351284115
35	0	0.63433413
36	0	0.6336691759
37	0	0.632857602
38	0	0.63247923
39	0	0.6318980407
40	0	0.6309515575
41	0	0.6301325639
42	0	0.6297926265
43	0	0.6292036655
44	0	0.6285554669
45	0	0.6280442435
46	0	0.6274468616
47	0	0.627026834
48	0	0.6266213183
49	0	0.626004259
50	0	0.6255166279
